No,Season,Name,Age,Nat.,Position,Market value,From,To,Fee,Type,,
106,20/21 Summer,Matt Doherty,28,Ireland,Right-Back,5000000,Wolverhampton Wanderers,Tottenham Hotspur,16800000,Transfer,,
107,20/21 Summer,Pierre-Emile Højbjerg,25,Denmark,Central Midfield,32000000,Southampton FC,Tottenham Hotspur,16600000,Transfer,,
108,20/21 Summer,Joe Rodon,22,Wales,Centre-Back,5000000,Swansea City,Tottenham Hotspur,12100000,Transfer,,
109,20/21 Summer,Carlos Vinícius,25,Brazil,Centre-Forward,6000000,SL Benfica,Tottenham Hotspur,3000000,Loan,,
110,20/21 Summer,Joe Hart,33,England,Goalkeeper,1500000,Burnley FC,Tottenham Hotspur,0,Free transfer,,
111,20/21 Summer,Gareth Bale,31,Wales,Right Winger,-,Real Madrid,Tottenham Hotspur,0,Loan,,
112,20/21 Summer,Kyle Walker-Peters,23,England,Right-Back,22000000,Tottenham Hotspur,Southampton FC,13300000,Transfer,,
113,20/21 Summer,Jan Vertonghen,33,Belgium,Centre-Back,1500000,Tottenham Hotspur,SL Benfica,0,Free transfer,,
114,20/21 Summer,Oliver Skipp,19,England,Defensive Midfield,15000000,Tottenham Hotspur,Norwich City,0,Loan,,
115,20/21 Summer,Juan Foyth,22,Argentina,Right-Back,25000000,Tottenham Hotspur,Villarreal CF,0,Loan,,
116,20/21 Summer,Ryan Sessegnon,20,England,Left Midfield,18000000,Tottenham Hotspur,TSG 1899 Hoffenheim,0,Loan,,
117,20/21 Summer,Cameron Carter-Vickers,22,United States,Centre-Back,13000000,Tottenham Hotspur,AFC Bournemouth,0,Loan,,
118,20/21 Summer,Michel Vorm,36,Netherlands,Goalkeeper,-,Tottenham Hotspur,Retired,-,End of contract,,
119,20/21 Summer,Giovani Lo Celso,24,Argentina,Attacking Midfield,14000000,Tottenham Hotspur,Real Betis Balompié,0,End of loan,,
120,20/21 Winter,Martin Ødegaard,22,Norway,Attacking Midfield,90000000,Real Madrid,Arsenal FC,2000000,Loan,,
121,20/21 Winter,Mathew Ryan,28,Australia,Goalkeeper,4000000,Brighton & Hove Albion,Arsenal FC,0,Loan,,
122,20/21 Winter,Matt Macey,26,England,Goalkeeper,350000,Arsenal FC,Hibernian FC,0,Free transfer,,
123,20/21 Winter,Sokratis Papastathopoulos,32,Greece,Centre-Back,800000,Arsenal FC,Olympiacos Piraeus,0,Free transfer,,
124,20/21 Winter,Mesut Özil,32,Germany,Attacking Midfield,-,Arsenal FC,Fenerbahce,0,Free transfer,,
125,20/21 Winter,Shkodran Mustafi,28,Germany,Centre-Back,800000,Arsenal FC,FC Schalke 04,0,Free transfer,,
